Requested report - WIN WAVES
COUNTY = DUVAL, FLORIDA, FLAGLER, FLORIDA, ST. JOHNS, FLORIDA
Report Run on MARCH 29, 2024 The data you are accessing are from the WIN Warehouse.  The WIN Warehouse is refreshed on a weekly basis with new data that are submitted to WIN.  The refresh process occurs on the weekend; data uploaded to WIN through each Friday are available in the WIN Warehouse by the following Monday.  WIN replaces Florida STORET as an active data repository.  Florida STORET data are accessible through STORET Public Access (SPA). The following data met your selection criteria
"Organization ID"|"Organization Name"|"Monitoring Location ID"|"Monitoring Location Name"|"Primary Type"|"Secondary Type"|"Waterbody Name"|"Org Decimal Latitude"|"Org Latitude (DD MM SS.SSSS)"|"Org Decimal Longitude"|"Org Longitude (DD MM SS.SSSS)"|"Org Datum"|"Org Method"|"DEP Latitude"|"DEP Longitude"|"DEP Point Moved"|"Verifier Name"|"Verifier Timestamp"|"DEP Datum"|"NHD Reach Code"|"NHD Reach Code Date"|"STORET Monitoring Location ID"|"Land Surface Elevation (ft)"|"Land Surface Elevation Method"|"Land Surface Elevation Datum"|"Monitoring Loc Description"|"Monitoring Location Comment"|"ML Loaded Date"|"ML Updated Date"|"Florida Unique Well ID"|"GW Waterbody Subname"|"Well Type"|"Well Status"|"Aquifer Confinement"|"Well Total Depth (ft)"|"Well Casing Depth (ft)"|"ScreenOpenHoleBeginDepth (ft)"|"ScreenOpenHoleEndDepth (ft)"|"Well Construction Method"|"ConstructionMethodExplanation"|"Well Drill Date"|"Well Finish"|"Well Casing Material"|"Well Casing Diameter (in)"|"Well Screen Material"|"Well Screen Diameter (in)"|"Well Lead Weight"|"Water Level Recorder Indicator"|"Well Log Type"|"Primary Elevation Value (ft)"|"Primary Elevation Reference"|"Primary Elevation Method"|"Primary Elevation Datum"|"Secondary Elevation Value (ft)"|"Secondary Elevation Reference"|"Secondary Elevation Method"|"Secondary Elevation Datum"|"Top Of Aquifer"|"Bottom Of Aquifer"|"County"|"BMAP"|"BMAP Sub-Boundary"|"WBID"|"DEP District"|"Water Management District"|"Basin"|"Planning Unit"|"HUC12 Value"|"HUC12 Name"|"HUC8 Value"|"HUC8 Name"|"Basin Group"|"State"|"WBID Water Type"|"Waterbody Class"
"21FLSJWM"|"ST. JOHNS RIVER WATER MANAGEMENT DISTRICT"|"448972"|"NCB19020038"|"Surface Water"|"River/Stream"|""|""|"30 26 46.9788"|""|"-81 26 54.3012"|"World Geodetic Survey Of 1984"|"C/A Code Phase GPS with Wide-Area Augmentation Service Correction"|"30.445640043"|"-81.449071459"|"Y"|"CONNORS_S_1"|"08/29/2017 10:30:47"|"North American Datum Of 1983"|"03070205002805"|"11/08/2014"|"NCB19020038"|""|""|""|"SISTERS CREEK S FT GEORGE RIVER"|""|"09/01/2017"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"DUVAL"|""|""|"2198B"|"NORTHEAST"|"SJRWMD"|"NASSAU - ST. MARYS"|"NASSAU RIVER"|"030702050304"|"NASSAU SOUND-FORT GEORGE INLET FRONTAL"|"03070205"|"NASSAU"|"GROUP 4"|"FLORIDA"|"ESTUARY"|"2"
"21FLA"|"FDEP NORTHEAST REGIONAL OPERATIONS CENTER"|"20030725"|"MCCOYS CR AT LELAND ST"|"Surface Water"|"River/Stream"|""|"30.326666"|""|"-81.698555"|""|"World Geodetic Survey Of 1984"|"Digital Aerial Photography"|"30.326666001"|"-81.698555"|"N"|"PARRISH_JM"|"12/13/2017 10:09:39"|"North American Datum Of 1983"|"03080103002463"|"12/04/2013"|"20030725"|""|""|""|""|""|"12/13/2017"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"DUVAL"|"LSJM - LOWER ST. JOHNS MAINSTEM/LSJT - LOWER ST. JOHNS TRIBUTARIES I AND II"|"LOWER ST. JOHNS MAINSTEM - Marine/LOWER ST. JOHNS TRIBUTARIES I AND II - LSJT"|"2257"|"NORTHEAST"|"SJRWMD"|"LOWER ST. JOHNS"|"NORTH MAINSTEM"|"030801031405"|"MCCOY CREEK"|"03080103"|"LOWER ST. JOHNS"|"GROUP 2"|"FLORIDA"|"STREAM"|"3F"
"21FLA"|"FDEP NORTHEAST REGIONAL OPERATIONS CENTER"|"20030693"|"MCCOY CR AT MYRTLE AVE"|"Surface Water"|"River/Stream"|""|"30.325861"|""|"-81.677694"|""|"World Geodetic Survey Of 1984"|"Digital Aerial Photography"|"30.325861001"|"-81.677694"|"N"|"PARRISH_JM"|"06/15/2017 11:07:58"|"North American Datum Of 1983"|"03080103002463"|"12/04/2013"|"20030693"|""|""|""|""|""|"06/15/2017"|"07/17/2017"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"DUVAL"|"LSJM - LOWER ST. JOHNS MAINSTEM/LSJT - LOWER ST. JOHNS TRIBUTARIES I AND II"|"LOWER ST. JOHNS MAINSTEM - Marine/LOWER ST. JOHNS TRIBUTARIES I AND II - LSJT"|"2257"|"NORTHEAST"|"SJRWMD"|"LOWER ST. JOHNS"|"NORTH MAINSTEM"|"030801031405"|"MCCOY CREEK"|"03080103"|"LOWER ST. JOHNS"|"GROUP 2"|"FLORIDA"|"STREAM"|"3F"
"21FLA"|"FDEP NORTHEAST REGIONAL OPERATIONS CENTER"|"20030064"|"BIG POTTSBURG CR AT BELFORT RD"|"Surface Water"|"River/Stream"|""|"30.25725"|""|"-81.580944"|""|"North American Datum Of 1983"|"Digital Aerial Photography"|"30.25761876"|"-81.580407558"|"Y"|"PARRISH_JM"|"02/23/2018 10:42:25"|"North American Datum Of 1983"|"03080103000275"|"12/04/2013"|"20030064"|""|""|""|""|""|"06/15/2017"|"02/23/2018"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"DUVAL"|"LSJM - LOWER ST. JOHNS MAINSTEM/LSJT - LOWER ST. JOHNS TRIBUTARIES I AND II"|"LOWER ST. JOHNS MAINSTEM - Marine/LOWER ST. JOHNS TRIBUTARIES I AND II - LSJT"|"2265C"|"NORTHEAST"|"SJRWMD"|"LOWER ST. JOHNS"|"NORTH MAINSTEM"|"030801031503"|"ARLINGTON RIVER"|"03080103"|"LOWER ST. JOHNS"|"GROUP 2"|"FLORIDA"|"STREAM"|"3F"
"21FLA"|"FDEP NORTHEAST REGIONAL OPERATIONS CENTER"|"20030754"|"STRAWBERRY CR AT LONE STAR ROAD"|"Surface Water"|"River/Stream"|""|"30.338027"|""|"-81.559916"|""|"World Geodetic Survey Of 1984"|"Digital Aerial Photography"|"30.338027001"|"-81.559916"|"N"|"PARRISH_JM"|"12/15/2017 10:29:02"|"North American Datum Of 1983"|"03080103018721"|"12/04/2013"|"20030754"|""|""|""|""|""|"06/15/2017"|"12/15/2017"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"DUVAL"|"LSJM - LOWER ST. JOHNS MAINSTEM"|"LOWER ST. JOHNS MAINSTEM - Marine"|"2239"|"NORTHEAST"|"SJRWMD"|"LOWER ST. JOHNS"|"NORTH MAINSTEM"|"030801031503"|"ARLINGTON RIVER"|"03080103"|"LOWER ST. JOHNS"|"GROUP 2"|"FLORIDA"|"STREAM"|"3F"
"21FLA"|"FDEP NORTHEAST REGIONAL OPERATIONS CENTER"|"20030752"|"TROUT RIVER AT RAMALLAH RD"|"Surface Water"|"River/Stream"|""|"30.398583"|""|"-81.841277"|""|"World Geodetic Survey Of 1984"|"Digital Aerial Photography"|"30.398583001"|"-81.841277"|"N"|"PARRISH_JM"|"12/15/2017 10:04:42"|"North American Datum Of 1983"|"03080103000075"|"03/20/2014"|"20030752"|""|""|""|""|""|"12/15/2017"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"DUVAL"|"LSJM - LOWER ST. JOHNS MAINSTEM"|"LOWER ST. JOHNS MAINSTEM - Marine"|"2223"|"NORTHEAST"|"SJRWMD"|"LOWER ST. JOHNS"|"TROUT RIVER"|"030801031501"|"UPPER TROUT RIVER"|"03080103"|"LOWER ST. JOHNS"|"GROUP 2"|"FLORIDA"|"STREAM"|"3F"
"21FLA"|"FDEP NORTHEAST REGIONAL OPERATIONS CENTER"|"NEHAB0034"|"LSJR @ Marina Ortega Land"|"Surface Water"|"Estuary"|""|"30.277"|""|"-81.71278"|""|"World Geodetic Survey Of 1984"|"Digital Aerial Photography"|"30.276999989"|"-81.71278"|"N"|"PARRISH_JM"|"09/24/2021 12:57:26"|"North American Datum Of 1983"|""|""|"NOT IN FLSTORET"|""|""|""|""|""|"09/24/2021"|"11/28/2022"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"DUVAL"|"LSJM - LOWER ST. JOHNS MAINSTEM"|""|"2213P1"|"NORTHEAST"|"SJRWMD"|"LOWER ST. JOHNS"|"ORTEGA RIVER"|"030801031403"|"LOWER ORTEGA RIVER"|"03080103"|"LOWER ST. JOHNS"|"GROUP 2"|"FLORIDA"|"ESTUARY"|"3M"
"21FLSJWM"|"ST. JOHNS RIVER WATER MANAGEMENT DISTRICT"|"44869"|"JXTR17"|"Surface Water"|"River/Stream"|""|""|"29 59 5"|""|"-81 19 42"|"North American Datum Of 1983"|"Unknown method"|"29.984722222"|"-81.328333333"|"N"|"CONNORS_S_1"|"08/29/2017 14:00:34"|"North American Datum Of 1983"|"03080201001322"|"09/18/2014"|"JXTR17"|""|""|""|"Confluence of Tolomato and Guana Rivers - ICWW"|""|"09/01/2017"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"ST. JOHNS"|""|""|"2363I2"|"NORTHEAST"|"SJRWMD"|"UPPER EAST COAST"|"TOLOMATO RIVER"|"030802010602"|"LOWER TOLOMATO RIVER"|"03080201"|"DAYTONA-ST. AUGUSTINE"|"GROUP 5"|"FLORIDA"|"ESTUARY"|"2"
"21FLSJWM"|"ST. JOHNS RIVER WATER MANAGEMENT DISTRICT"|"482672"|"FWRP1"|"Surface Water"|"Wetland"|""|""|"29 26 27.9312"|""|"-81 7 1.1964"|"North American Datum Of 1983"|"C/A Code Phase GPS with Wide-Area Augmentation Service Correction"|"29.441091988"|"-81.116999"|"Y"|"CONNORS_S_1"|"04/14/2020 07:18:43"|"North American Datum Of 1983"|""|""|""|""|""|""|"Northern section of wetland restoration project west of Intracoastal Waterway"|""|"04/14/2020"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"FLAGLER"|""|""|"2363J"|"NORTHEAST"|"SJRWMD"|"UPPER EAST COAST"|"HALIFAX RIVER"|"030802010302"|"BULOW CREEK-TOMOKA RIVER FRONTAL"|"03080201"|"DAYTONA-ST. AUGUSTINE"|"GROUP 5"|"FLORIDA"|"ESTUARY"|"3M"
"21FLSJWM"|"ST. JOHNS RIVER WATER MANAGEMENT DISTRICT"|"242782"|"NCBMOSES"|"Surface Water"|"River/Stream"|""|""|"29 46 29"|""|"-81 18 56.8"|"World Geodetic Survey Of 1984"|"Autonomous C/A Code Phase GPS"|"29.77463152"|"-81.316147923"|"Y"|"CONNORS_S_1"|"08/29/2017 10:35:45"|"North American Datum Of 1983"|"03080201001734"|"06/27/2014"|"NCBMOSES"|""|""|""|"Moses Creek on west side of US1"|""|"09/01/2017"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"ST. JOHNS"|""|""|"2535B"|"NORTHEAST"|"SJRWMD"|"UPPER EAST COAST"|"MATANZAS RIVER"|"030802010501"|"TOLOMATO RIVER-MOSES CREEK FRONTAL"|"03080201"|"DAYTONA-ST. AUGUSTINE"|"GROUP 5"|"FLORIDA"|"STREAM"|"3F"
"21FLWQA"|"FDEP WATERSHED ASSESSMENT SECTION"|"WMDBLOOM556"|"HAB21PK5 L20212588"|"Surface Water"|"River/Stream"|""|"29.895"|""|"-81.59472222"|""|"World Geodetic Survey Of 1984"|"Differentially Corrected C/A Code Phase GPS"|"29.894999989"|"-81.59472222"|"N"|"STORRS_J"|"06/14/2022 15:22:26"|"North American Datum Of 1983"|"03080103025769"|"10/23/2019"|"NOT IN FLSTORET"|""|""|""|""|""|"06/14/2022"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"ST. JOHNS"|"LSJM - LOWER ST. JOHNS MAINSTEM"|""|"2213J"|"NORTHEAST"|"SJRWMD"|"LOWER ST. JOHNS"|"SOUTH MAINSTEM"|"030801030804"|"CLARKS CREEK"|"03080103"|"LOWER ST. JOHNS"|"GROUP 2"|"FLORIDA"|"LAKE"|"3F"
"21FLWQA"|"FDEP WATERSHED ASSESSMENT SECTION"|"WMDBLOOM582"|"Bull Creek - north of Fish Camp, L20222642 - HAB22PK29"|"Surface Water"|"River/Stream"|""|"29.42466667"|""|"-81.43727778"|""|"World Geodetic Survey Of 1984"|"Differentially Corrected C/A Code Phase GPS"|"29.424666659"|"-81.43727778"|"N"|"STORRS_J"|"04/14/2023 13:20:33"|"North American Datum Of 1983"|"03080103001622"|"02/28/2012"|"NOT IN FLSTORET"|""|""|""|""|""|"04/14/2023"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"FLAGLER"|"LSJM - LOWER ST. JOHNS MAINSTEM"|""|"2615"|"NORTHEAST"|"SJRWMD"|"LOWER ST. JOHNS"|"CRESCENT LAKE"|"030801030301"|"DEAD LAKE"|"03080103"|"LOWER ST. JOHNS"|"GROUP 2"|"FLORIDA"|"STREAM"|"3F"
"21FLGTM"|"GUANA TOLOMATO MATANZAS NATIONAL ESTUARINE RESEARCH RESERVE"|"GTMRNNUT"|"RIVER NORTH"|"Surface Water"|"River/Stream"|"GUANA RIVER"|"30.022421"|""|"-81.3276"|""|"World Geodetic Survey Of 1984"|"Autonomous C/A Code Phase GPS"|"30.022420989"|"-81.3276"|"N"|"TANNER_S"|"09/17/2020 17:02:29"|"North American Datum Of 1983"|"03080201001473"|"07/09/2019"|"GTMRNNUT"|""|""|""|"Guana River boat ramp 20 meters into river"|""|"02/27/2018"|"09/17/2020"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"ST. JOHNS"|""|""|"2320"|"NORTHEAST"|"SJRWMD"|"UPPER EAST COAST"|"TOLOMATO RIVER"|"030802010602"|"LOWER TOLOMATO RIVER"|"03080201"|"DAYTONA-ST. AUGUSTINE"|"GROUP 5"|"FLORIDA"|"ESTUARY"|"2"
"21FLKWAT"|"FLORIDA LAKEWATCH"|"FLA-EMERALD-2"|"Flagler-Emerald-2"|"Surface Water"|"Lake"|"EMERALD LAKE"|"29.5124"|""|"-81.1561"|""|"World Geodetic Survey Of 1984"|"Differentially Corrected C/A Code Phase GPS"|"29.512400001"|"-81.1561"|"N"|"HORSBURGH_C_1"|"08/11/2019 18:24:59"|"North American Datum Of 1983"|"03080201002014"|"06/27/2014"|"Fla-Emerald-2"|""|""|""|""|""|"08/22/2019"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"FLAGLER"|""|""|"2363D"|"NORTHEAST"|"SJRWMD"|"UPPER EAST COAST"|"PELLICER CREEK"|"030802010304"|"PELLICER CREEK-BIG MULBERRY BRANCH FRONTAL"|"03080201"|"DAYTONA-ST. AUGUSTINE"|"GROUP 5"|"FLORIDA"|"ESTUARY"|"3M"
"21FLJXWQ"|"CITY OF JACKSONVILLE ENVIRONMENTAL QUALITY DIVISION"|"DUC4"|"DUC4"|"Surface Water"|"River/Stream"|"DURBIN CREEK"|"30.09813"|""|"-81.47266"|""|"North American Datum Of 1983"|"Satellite Imagery"|"30.098325314"|"-81.472853119"|"Y"|"COTTER_B_1"|"04/03/2018 11:22:40"|"North American Datum Of 1983"|"03080103000266"|"03/20/2014"|"DUC4"|""|""|""|"Durbin Creek At U.S. 1"|""|"05/10/2018"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"ST. JOHNS"|"LSJM - LOWER ST. JOHNS MAINSTEM"|"LOWER ST. JOHNS MAINSTEM - Marine"|"2365"|"NORTHEAST"|"SJRWMD"|"LOWER ST. JOHNS"|"JULINGTON CREEK"|"030801031301"|"DURBIN CREEK"|"03080103"|"LOWER ST. JOHNS"|"GROUP 2"|"FLORIDA"|"STREAM"|"3F"
"21FLJXWQ"|"CITY OF JACKSONVILLE ENVIRONMENTAL QUALITY DIVISION"|"SS1"|"SS1"|"Surface Water"|"Estuary"|"MILLER CREEK"|"30.30614"|""|"-81.62877"|""|"North American Datum Of 1983"|"Satellite Imagery"|"30.306197892"|"-81.628802187"|"Y"|"COTTER_B_1"|"04/03/2018 12:43:46"|"North American Datum Of 1983"|""|""|"SS1"|""|""|""|"Miller Creek At Atlantic Blvd"|""|"05/10/2018"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"DUVAL"|"LSJM - LOWER ST. JOHNS MAINSTEM/LSJT - LOWER ST. JOHNS TRIBUTARIES I AND II"|"LOWER ST. JOHNS MAINSTEM - Marine/LOWER ST. JOHNS TRIBUTARIES I AND II - LSJT"|"2287B"|"NORTHEAST"|"SJRWMD"|"LOWER ST. JOHNS"|"NORTH MAINSTEM"|"030801031405"|"MCCOY CREEK"|"03080103"|"LOWER ST. JOHNS"|"GROUP 2"|"FLORIDA"|"ESTUARY"|"3M"
"21FLJXWQ"|"CITY OF JACKSONVILLE ENVIRONMENTAL QUALITY DIVISION"|"SS26"|"SS26"|"Surface Water"|"River/Stream"|""|"30.24642"|""|"-81.63167"|""|"North American Datum Of 1983"|"Satellite Imagery"|"30.24642"|"-81.63167"|"N"|"COTTER_B_1"|"04/03/2018 12:50:03"|"North American Datum Of 1983"|"03080103022289"|"12/04/2013"|"SS26"|""|""|""|"San Jose Creek At  San Jose Blvd"|""|"05/10/2018"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"DUVAL"|"LSJM - LOWER ST. JOHNS MAINSTEM"|"LOWER ST. JOHNS MAINSTEM - Marine"|"2213E"|"NORTHEAST"|"SJRWMD"|"LOWER ST. JOHNS"|"NORTH MAINSTEM"|"030801031404"|"NEW ROSE CREEK"|"03080103"|"LOWER ST. JOHNS"|"GROUP 2"|"FLORIDA"|"ESTUARY"|"3M"
"21FLJXWQ"|"CITY OF JACKSONVILLE ENVIRONMENTAL QUALITY DIVISION"|"TR314"|"TR314"|"Surface Water"|"River/Stream"|""|"30.37091"|""|"-81.73453"|""|"North American Datum Of 1983"|"Satellite Imagery"|"30.370972482"|"-81.734755306"|"Y"|"COTTER_B_1"|"04/03/2018 13:08:54"|"North American Datum Of 1983"|"03080103001981"|"03/20/2014"|"TR314"|""|""|""|"Little Sixmile Creek At Pickettville Rd"|""|"05/10/2018"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"DUVAL"|"LSJM - LOWER ST. JOHNS MAINSTEM"|"LOWER ST. JOHNS MAINSTEM - Marine"|"2238"|"NORTHEAST"|"SJRWMD"|"LOWER ST. JOHNS"|"TROUT RIVER"|"030801031502"|"LOWER TROUT RIVER"|"03080103"|"LOWER ST. JOHNS"|"GROUP 2"|"FLORIDA"|"STREAM"|"3F"
"21FLJEA"|"JEA"|"WCT3"|"Williamson Creek"|"Surface Water"|"River/Stream"|""|"30.2723055"|""|"-81.7514444"|""|"North American Datum Of 1983"|"Digital Aerial Photography"|"30.2723055"|"-81.7514444"|"N"|"BIZUB_K_1"|"12/28/2017 09:50:19"|"North American Datum Of 1983"|"03080103038489"|"12/04/2013"|"WCT3"|""|""|""|""|""|"12/28/2017"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"DUVAL"|"LSJM - LOWER ST. JOHNS MAINSTEM/LSJT - LOWER ST. JOHNS TRIBUTARIES I AND II"|"LOWER ST. JOHNS MAINSTEM - Marine/LOWER ST. JOHNS TRIBUTARIES I AND II - LSJT"|"2316"|"NORTHEAST"|"SJRWMD"|"LOWER ST. JOHNS"|"ORTEGA RIVER"|"030801031402"|"CEDAR RIVER"|"03080103"|"LOWER ST. JOHNS"|"GROUP 2"|"FLORIDA"|"STREAM"|"3F"
"21FLA"|"FDEP NORTHEAST REGIONAL OPERATIONS CENTER"|"NEHAB0008"|"SJR at St.Vincent Hospital"|"Surface Water"|"Estuary"|""|"30.307226"|""|"-81.68862"|""|"World Geodetic Survey Of 1984"|"Digital Aerial Photography"|"30.307225989"|"-81.68862"|"Y"|"PARRISH_JM"|"01/14/2021 17:06:12"|"North American Datum Of 1983"|""|""|"NOT IN FLSTORET"|""|""|""|""|""|"01/14/2021"|"11/28/2022"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"DUVAL"|"LSJM - LOWER ST. JOHNS MAINSTEM"|""|"2213E"|"NORTHEAST"|"SJRWMD"|"LOWER ST. JOHNS"|"NORTH MAINSTEM"|"030801031405"|"MCCOY CREEK"|"03080103"|"LOWER ST. JOHNS"|"GROUP 2"|"FLORIDA"|"ESTUARY"|"3M"
"21FLA"|"FDEP NORTHEAST REGIONAL OPERATIONS CENTER"|"20030474"|"MILL CR  @ SR 16"|"Surface Water"|"River/Stream"|""|"29.964167"|""|"-81.495611"|""|"North American Datum Of 1983"|"Digital Aerial Photography"|"29.964167"|"-81.495611"|"N"|"PARRISH_JM"|"06/15/2017 10:52:49"|"North American Datum Of 1983"|"03080103018996"|"03/20/2014"|"20030474"|""|""|""|""|""|"06/15/2017"|"07/17/2017"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"ST. JOHNS"|"LSJM - LOWER ST. JOHNS MAINSTEM"|"LOWER ST. JOHNS MAINSTEM - Freshwater"|"2460"|"NORTHEAST"|"SJRWMD"|"LOWER ST. JOHNS"|"SIXMILE CREEK"|"030801031203"|"PALMO COVE"|"03080103"|"LOWER ST. JOHNS"|"GROUP 2"|"FLORIDA"|"STREAM"|"3F"
"21FLA"|"FDEP NORTHEAST REGIONAL OPERATIONS CENTER"|"20030346"|"MCGIRTS CREEK AT OLD PLANK ROAD"|"Surface Water"|"River/Stream"|""|"30.329833"|""|"-81.8618888"|""|"World Geodetic Survey Of 1984"|"Digital Aerial Photography"|"30.329833001"|"-81.8618888"|"N"|"PARRISH_JM"|"01/18/2018 10:02:15"|"North American Datum Of 1983"|"03080103002465"|"02/27/2012"|"20030346"|""|""|""|""|""|"01/18/2018"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"DUVAL"|"LSJM - LOWER ST. JOHNS MAINSTEM"|"LOWER ST. JOHNS MAINSTEM - Marine"|"2249B"|"NORTHEAST"|"SJRWMD"|"LOWER ST. JOHNS"|"ORTEGA RIVER"|"030801031401"|"UPPER ORTEGA RIVER"|"03080103"|"LOWER ST. JOHNS"|"GROUP 2"|"FLORIDA"|"STREAM"|"3F"
"21FLA"|"FDEP NORTHEAST REGIONAL OPERATIONS CENTER"|"27010019"|"CAPO CREEK 300M ABOVE MOUTH"|"Surface Water"|"Estuary"|""|"30.033611"|""|"-81.353027"|""|"World Geodetic Survey Of 1984"|"Digital Aerial Photography"|"30.033611001"|"-81.353027"|"Y"|"PARRISH_JM"|"12/23/2019 11:31:47"|"North American Datum Of 1983"|""|""|"NOT IN FLSTORET"|""|""|""|""|""|"12/23/2019"|"07/29/2021"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"ST. JOHNS"|""|""|"2435"|"NORTHEAST"|"SJRWMD"|"UPPER EAST COAST"|"TOLOMATO RIVER"|"030802010601"|"UPPER TOLOMATO RIVER"|"03080201"|"DAYTONA-ST. AUGUSTINE"|"GROUP 5"|"FLORIDA"|"ESTUARY"|"2"
"21FLA"|"FDEP NORTHEAST REGIONAL OPERATIONS CENTER"|"G2NE1208"|"Tributary to Trout at Capper Rd."|"Surface Water"|"Estuary"|""|"30.427703"|""|"-81.696574"|""|"World Geodetic Survey Of 1984"|"Digital Aerial Photography"|"30.427703001"|"-81.696574"|"Y"|"PARRISH_JM"|"12/23/2019 12:52:56"|"North American Datum Of 1983"|""|""|"NOT IN FLSTORET"|""|""|""|""|""|"12/23/2019"|"11/28/2022"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"DUVAL"|"LSJM - LOWER ST. JOHNS MAINSTEM/LSJT - LOWER ST. JOHNS TRIBUTARIES I AND II"|"LOWER ST. JOHNS MAINSTEM - Marine/LOWER ST. JOHNS TRIBUTARIES I AND II - LSJT"|"2203F"|"NORTHEAST"|"SJRWMD"|"LOWER ST. JOHNS"|"TROUT RIVER"|"030801031501"|"UPPER TROUT RIVER"|"03080103"|"LOWER ST. JOHNS"|"GROUP 2"|"FLORIDA"|"STREAM"|"3F"
"21FLJXWQ"|"CITY OF JACKSONVILLE ENVIRONMENTAL QUALITY DIVISION"|"OR8W"|"OR8W"|"Surface Water"|"River/Stream"|""|"30.24036"|""|"-81.74741"|""|"North American Datum Of 1983"|"Satellite Imagery"|"30.24030207"|"-81.746776999"|"Y"|"COTTER_B_1"|"04/03/2018 12:38:11"|"North American Datum Of 1983"|"03080103002605"|"02/27/2012"|"OR8W"|""|""|""|"Fishing Creek, North Branch at Jammes Rd."|""|"05/10/2018"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"DUVAL"|"LSJM - LOWER ST. JOHNS MAINSTEM/LSJT - LOWER ST. JOHNS TRIBUTARIES I AND II"|"LOWER ST. JOHNS MAINSTEM - Marine/LOWER ST. JOHNS TRIBUTARIES I AND II - LSJT"|"2324"|"NORTHEAST"|"SJRWMD"|"LOWER ST. JOHNS"|"ORTEGA RIVER"|"030801031402"|"CEDAR RIVER"|"03080103"|"LOWER ST. JOHNS"|"GROUP 2"|"FLORIDA"|"STREAM"|"3F"
